2026-03-11 11:00:05 | ERROR    | app.llm_hub.providers.openai:chat:216 - [31mOpenAI 对话请求失败: RateLimitError: Error code: 429 - {'extend_fields': {'traceId': '2107331d17731980059332847e0d53', 'requestId': '698b93abfba6b18b5ad61a33a37e232d'}, 'error_code': 429, 'message': 'Throttling: Throttling.AllocationQuota: Allocated quota exceeded, please increase your quota limit. For details, see: https://help.aliyun.com/zh/model-studio/error-code#token-limit, dash_request_id: 0f2786c7-7b4a-4da4-aec5-c15efec55a20'}[0m
2026-03-11 11:00:05 | ERROR    | app.llm_hub.inference:infer:334 - [31m[req-000009] 推理请求失败: Error code: 429 - {'extend_fields': {'traceId': '2107331d17731980059332847e0d53', 'requestId': '698b93abfba6b18b5ad61a33a37e232d'}, 'error_code': 429, 'message': 'Throttling: Throttling.AllocationQuota: Allocated quota exceeded, please increase your quota limit. For details, see: https://help.aliyun.com/zh/model-studio/error-code#token-limit, dash_request_id: 0f2786c7-7b4a-4da4-aec5-c15efec55a20'}[0m
2026-03-11 11:00:05 | ERROR    | app.agents.reflection:reflect:217 - [31m反思失败（LLM 调用异常）: Error code: 429 - {'extend_fields': {'traceId': '2107331d17731980059332847e0d53', 'requestId': '698b93abfba6b18b5ad61a33a37e232d'}, 'error_code': 429, 'message': 'Throttling: Throttling.AllocationQuota: Allocated quota exceeded, please increase your quota limit. For details, see: https://help.aliyun.com/zh/model-studio/error-code#token-limit, dash_request_id: 0f2786c7-7b4a-4da4-aec5-c15efec55a20'}[0m
2026-03-11 11:57:00 | ERROR    | app.llm_hub.tool_gateway:_execute_single_call:479 - [31m工具调用超时: http_request (>30.0s)[0m
2026-03-11 11:57:33 | ERROR    | app.agents.execution:_execute_step:751 - [31m执行步骤时发生错误 (action=tool): MessageAgentTool.update_context() got an unexpected keyword argument 'pending_confirmations'[0m
2026-03-11 11:58:23 | ERROR    | app.llm_hub.providers.openai:chat:216 - [31mOpenAI 对话请求失败: RateLimitError: Error code: 429 - {'extend_fields': {'traceId': '0b1bf97117732015036455163e0eeb', 'requestId': 'e2937dfbf77fec11d0b81b7cbaff6699'}, 'error_code': 429, 'message': 'Throttling: Throttling.AllocationQuota: Allocated quota exceeded, please increase your quota limit. For details, see: https://help.aliyun.com/zh/model-studio/error-code#token-limit, dash_request_id: ed89c0d8-cb53-4f41-9775-a430b9dde928'}[0m
2026-03-11 11:58:23 | ERROR    | app.llm_hub.inference:infer:334 - [31m[req-000029] 推理请求失败: Error code: 429 - {'extend_fields': {'traceId': '0b1bf97117732015036455163e0eeb', 'requestId': 'e2937dfbf77fec11d0b81b7cbaff6699'}, 'error_code': 429, 'message': 'Throttling: Throttling.AllocationQuota: Allocated quota exceeded, please increase your quota limit. For details, see: https://help.aliyun.com/zh/model-studio/error-code#token-limit, dash_request_id: ed89c0d8-cb53-4f41-9775-a430b9dde928'}[0m
2026-03-11 11:58:23 | ERROR    | app.agents.execution:_synthesize_answer:434 - [31m[执行引擎] LLM 答案合成失败，回退到原始数据拼接: Error code: 429 - {'extend_fields': {'traceId': '0b1bf97117732015036455163e0eeb', 'requestId': 'e2937dfbf77fec11d0b81b7cbaff6699'}, 'error_code': 429, 'message': 'Throttling: Throttling.AllocationQuota: Allocated quota exceeded, please increase your quota limit. For details, see: https://help.aliyun.com/zh/model-studio/error-code#token-limit, dash_request_id: ed89c0d8-cb53-4f41-9775-a430b9dde928'}[0m
2026-03-11 12:06:01 | ERROR    | app.agents.execution:_execute_step:751 - [31m执行步骤时发生错误 (action=tool): MessageAgentTool.update_context() got an unexpected keyword argument 'pending_confirmations'[0m
2026-03-11 12:10:13 | ERROR    | app.tools.builtin.http:execute:580 - [31m[HTTPRequestTool] 连接失败: https://api.email-service.com/send — [0m
2026-03-11 15:18:42 | ERROR    | app.llm_hub.tool_gateway:_execute_single_call:479 - [31m工具调用超时: http_request (>30.0s)[0m
